YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS 
2000 01 03 09 207  7.8  8.8  0.73  3.45  3.43 999 1011.2   9.7   5.9   6.9 99.0
2000 01 03 10 212  6.5  7.6  0.64  3.13  3.37 999 1011.5   9.4   5.9   6.9 99.0
2000 01 03 11 220  6.9  8.7  0.62  3.03  3.45 999 1011.5   9.8   5.9   7.2 99.0
2000 01 03 12 220  7.0  7.8  0.70  3.23  3.42 999 1011.9   9.7   5.9   6.9 99.0
2000 01 03 13 203  3.4  3.9  0.53  3.45  3.53 999 1013.2   8.9   5.9   6.6 99.0
2000 01 03 14 190  4.0  4.3  0.45  3.45  3.74 999 1014.5   8.9   5.9   6.6 99.0
2000 01 03 15 201  3.7  4.0  0.35  3.13  3.81 999 1016.0   9.1   6.0   6.7 99.0
2000 01 03 16 211  4.3  4.8  0.33 10.00  4.17 999 1016.4   9.9   6.0   7.2 99.0
2000 01 03 17 202  4.5  5.0  0.33 10.00  4.28 999 1016.5  10.3   6.2   7.1 99.0
2000 01 03 18 215  4.1  4.5  0.28 10.00  4.84 999 1016.7  10.2   6.3   6.0 99.0
2000 01 03 19 274  2.6  3.0  0.28 10.00  4.93 999 1017.3   9.7   6.3   5.2 99.0
2000 01 03 20 301  3.2  3.6  0.33  9.09  4.93 999 1018.7  10.5   6.3   5.4 99.0
2000 01 03 21 296  2.6  2.8  0.34  7.14  5.67 999 1019.9  12.1   6.3   5.4 99.0
2000 01 03 22  18  5.3  6.3  0.37  8.33  5.95 999 1020.9   9.8   6.3   5.3 99.0
2000 01 03 23  33  6.4  7.2  0.43  7.14  6.11 999 1021.8   8.3   6.2   4.6 99.0
2000 01 04 00  44  7.3  8.5  0.53  9.09  3.91 999 1022.5   7.5   6.0   4.7 99.0
2000 01 04 01  42  7.3  8.5  0.68  3.13  3.60 999 1023.4   7.1   6.0   4.5 99.0
2000 01 04 02  55  9.3 11.8  0.81  3.57  3.67 999 1022.5   7.1   6.0   3.0 99.0
2000 01 04 03  53  8.4 11.5  0.94  4.00  3.87 999 1023.4   6.8   6.0   4.2 99.0
2000 01 04 04  56  7.5  8.8  1.01  4.17  4.04 999 1022.6   6.6   6.0   3.9 99.0
2000 01 04 05  70  8.4 10.1  1.23  4.76  4.30 999 1021.7   6.7   5.9   4.3 99.0
2000 01 04 06  80  8.9 11.7  1.57  5.26  4.68 999 1020.6   6.7   5.9   4.6 99.0
2000 01 04 07  74  7.8  9.6  1.76  5.88  4.90 999 1020.3   6.4   5.9   4.0 99.0
2000 01 04 08  83  7.8  9.7  2.13  6.25  5.30 999 1019.4   5.6   5.9   3.9 99.0
2000 01 04 09  50  5.9  7.2  2.27  7.14  5.74 999 1018.0   5.6   5.9   4.6 99.0
2000 01 04 10  32  7.2  8.4  2.14  7.14  5.61 999 1016.5   5.6   5.9   4.8 99.0
2000 01 04 11  24  5.2  6.2  2.13  7.14  5.66 999 1015.3   5.9   5.9   5.2 99.0
2000 01 04 12  10  3.5  5.0  2.18  7.14  5.68 999 1014.7   5.9   5.9   5.4 99.0
2000 01 04 13 357  3.8  4.6  2.11  7.14  5.82 999 1013.5   5.9   5.9   5.3 99.0
2000 01 04 14 358  3.6  5.3  1.88  7.69  5.92 999 1012.6   5.7   5.9   5.2 99.0
2000 01 04 15   4  2.4  3.2  1.90  7.69  6.11 999 1012.0   5.9   5.9   5.4 99.0
2000 01 04 16  30  2.3  3.3  1.79  7.69  6.06 999 1010.3   5.9   5.9   5.4 99.0
2000 01 04 17 118  2.5  3.5  1.82  7.69  6.17 999 1008.0   6.3   5.9   5.9 99.0
2000 01 04 18 335  0.8  1.4  1.57  7.69  5.91 999 1006.3   6.1   5.9   5.7 99.0
2000 01 04 19 200  8.6 10.7  1.38  7.69  5.83 999 1004.2  11.7   6.0  11.4 99.0
2000 01 04 20 202 10.8 14.2  1.58  7.69  4.70 999 1003.0  12.6   5.9  11.4 99.0
2000 01 04 21 200 13.5 16.6  1.69  7.14  4.44 999 1001.4  13.4   5.9  11.6 99.0
2000 01 04 22 207 12.6 15.6  1.92  4.76  4.67 999 1001.2  13.5   5.9  11.0 99.0
2000 01 04 23 202 13.8 16.6  2.02  4.55  4.75 999 1000.1  13.3   5.9  11.4 99.0
2000 01 05 00 202 14.4 18.4  2.06  5.56  4.80 999  999.8  13.4   5.9  11.8 99.0
2000 01 05 01 196 13.3 17.6  1.76  4.55  4.65 999  998.7  13.3   6.0  11.8 99.0
2000 01 05 02 197  9.7 11.4  1.65  4.35  4.52 999  998.1  12.6   6.0  11.2 99.0
2000 01 05 03 313  7.5  8.9  1.16  7.69  4.47 999  998.6   9.1   6.0   7.9 99.0
2000 01 05 04 309  5.4  6.6  1.01  7.69  5.15 999  999.2   8.2   6.0   7.2 99.0
2000 01 05 05 283  4.3  4.7  0.92  6.67  5.10 999 1000.0   7.9   6.0   7.2 99.0
2000 01 05 06 277  5.6  6.6  0.77  7.69  5.22 999 1000.0   7.1   6.0   6.4 99.0
2000 01 05 07 283  6.1  7.6  0.75  7.14  4.23 999  999.4   6.3   6.0   4.7 99.0
2000 01 05 08 278  8.3 11.0  0.81  3.03  3.80 999 1000.9   5.3   5.9   3.4 99.0
2000 01 05 09 275  9.1 10.8  0.90  3.33  3.79 999 1001.6   5.1   5.9   2.1 99.0
2000 01 05 10 270  9.5 12.2  0.89  3.45  3.88 999 1002.8   4.7   5.9   1.2 99.0
2000 01 05 11 280 11.0 12.8  0.88  3.57  3.90 999 1002.9   4.4   5.9   0.2 99.0
2000 01 05 12 277 11.1 13.4  0.94  3.85  3.86 999 1004.1   4.0   5.9  -0.7 99.0
2000 01 05 13 297 11.3 13.9  1.09  4.00  3.85 999 1007.1   3.3   5.9  -3.4 99.0
2000 01 05 14 296 10.8 12.7  1.10  4.00  3.85 999 1008.3   2.4   5.9  -4.3 99.0
2000 01 05 15 316 12.1 14.3  1.22  4.00  3.83 999 1010.1   1.0   5.9  -6.8 99.0
2000 01 05 16 304 13.6 16.3  1.48  4.55  4.10 999 1011.6   0.0   5.9  -7.4 99.0
2000 01 05 17 297 12.9 15.4  1.49  4.55  4.10 999 1012.9   0.5   5.9  -8.1 99.0
2000 01 05 18 302 12.4 14.8  1.33  4.35  4.12 999 1014.4   0.9   5.9  -6.7 99.0
2000 01 05 19 310 10.6 13.4  1.49  4.17  4.00 999 1016.3   0.8   5.9  -8.3 99.0
2000 01 05 20 316  9.4 11.5  1.11  3.85  4.02 999 1017.9   0.9   5.9  -8.8 99.0
2000 01 05 21 313  8.8 11.0  1.05  4.00  4.10 999 1020.3   0.9   5.9  -9.4 99.0
2000 01 05 22 294  9.8 12.9  1.15  3.57  3.98 999 1022.9   0.9   5.9 -10.1 99.0
2000 01 05 23 298 12.0 14.2  1.11  4.00  4.00 999 1024.8   0.3   5.9 -11.0 99.0
2000 01 06 00 317  8.8 10.6  1.08  4.00  3.86 999 1027.0  -0.3   5.9 -10.9 99.0
2000 01 06 01 322  9.1 11.4  1.01  3.57  3.86 999 1028.3  -1.2   5.9 -10.1 99.0
2000 01 06 02 333 10.0 12.2  1.07  3.57  3.87 999 1029.5  -2.5   5.9 -11.7 99.0
2000 01 06 03 321 10.7 12.6  1.11  3.85  3.95 999 1030.2  -2.9   5.9 -11.7 99.0
2000 01 06 04 329  8.7 11.1  1.05  4.00  3.93 999 1031.9  -3.6   5.9 -12.0 99.0
2000 01 06 05 331  7.5  9.8  0.90  3.70  4.00 999 1032.6  -4.6   5.9 -13.2 99.0
2000 01 06 06 343  5.3  7.2  0.80 11.11  4.13 999 1033.7  -4.7   5.9 -12.3 99.0
2000 01 06 07 336  3.7  5.3  0.72 11.11  4.57 999 1034.9  -4.8   5.8 -12.2 99.0
2000 01 06 08 321  3.6  5.0  0.73 11.11  4.89 999 1035.6  -4.7   5.6 -11.5 99.0
2000 01 06 09 328  2.9  5.1  0.67 11.11  4.96 999 1036.1  -4.8   5.6 -11.4 99.0
2000 01 06 10 303  3.3  5.2  0.60 10.00  4.62 999 1036.7  -4.7   5.6 -10.6 99.0
2000 01 06 11 316  2.5  3.7  0.62 11.11  4.88 999 1037.5  -4.7   5.6 -10.4 99.0
2000 01 06 12 308  1.9  3.1  0.60 11.11  4.94 999 1037.5  -4.6   5.6 -10.2 99.0
2000 01 06 13 309  1.5  2.3  0.59 11.11  4.93 999 1037.7  -4.2   5.6  -9.6 99.0
2000 01 06 14 307  1.4  2.8  0.54 11.11  4.93 999 1038.2  -3.1   5.6  -8.7 99.0
2000 01 06 15 180  0.0  0.5  0.55 11.11  4.98 999 1038.2  -2.0   5.6  -8.3 99.0
2000 01 06 16 180  0.0  0.3  0.53 11.11  5.15 999 1037.9  -1.5   5.8  -7.1 99.0
2000 01 06 17 168  1.0  2.0  0.54 11.11  5.13 999 1036.7  -0.7   5.9  -6.2 99.0
2000 01 06 18 140  5.6  6.8  0.47 10.00  5.24 999 1035.2  -0.4   5.9  -5.9 99.0
2000 01 06 19 151  5.8  7.3  0.48 11.11  5.11 999 1034.5   0.3   5.9  -6.0 99.0
2000 01 06 20 164  5.7  7.9  0.54 11.11  4.12 999 1034.7   1.2   5.9  -6.9 99.0
2000 01 06 21 174  5.9  8.5  0.58 11.11  3.99 999 1034.3   1.8   5.9  -7.2 99.0
2000 01 06 22 168  7.2  8.6  0.63 10.00  3.73 999 1033.2   1.9   5.9  -5.1 99.0
2000 01 06 23 160  7.1  8.3  0.62 10.00  4.06 999 1032.9   2.1   5.9  -4.1 99.0
2000 01 07 00 160  9.1 10.5  0.68  3.57  3.76 999 1032.0   2.4   5.9  -2.5 99.0
2000 01 07 01 149  8.7 10.4  0.87  3.85  3.80 999 1031.9   2.8   5.9  -1.3 99.0
2000 01 07 02 157  8.5 10.1  0.89  4.17  3.81 999 1031.4   3.5   5.9  -0.8 99.0
2000 01 07 03 153  8.8 10.4  0.99  4.55  3.92 999 1029.9   3.6   5.9  -0.1 99.0
2000 01 07 04 153  9.4 11.2  0.96  4.00  3.85 999 1028.8   4.3   5.9   1.4 99.0
2000 01 07 05 155  8.6  9.7  0.92  4.17  3.84 999 1028.2   4.4   5.9   2.1 99.0
2000 01 07 06 174  6.8  8.1  0.80  4.35  3.98 999 1027.3   4.4   5.9   2.3 99.0
2000 01 07 07 196  4.8  5.6  0.65  4.00  4.08 999 1027.2   3.9   5.9   2.0 99.0
2000 01 07 08 195  5.1  6.2  0.55  9.09  4.43 999 1026.6   3.7   5.8   1.4 99.0
2000 01 07 09 202  4.7  5.5  0.51  9.09  4.68 999 1025.6   3.2   5.8   0.3 99.0
2000 01 07 10 230  5.0  6.6  0.50 10.00  4.84 999 1024.2   3.6   5.8  -0.3 99.0
2000 01 07 11 183  4.9  5.7  0.54  5.88  5.27 999 1023.5   2.7   5.8   0.0 99.0
2000 01 07 12 192  5.8  6.9  0.57  6.25  5.17 999 1022.5   3.1   5.8   0.3 99.0
2000 01 07 13 194  6.2  7.1  0.58  5.88  4.84 999 1021.9   3.3   5.8   0.5 99.0
2000 01 07 14 183  7.4  9.1  0.62  5.88  4.33 999 1021.2   3.1   5.8   0.6 99.0
2000 01 07 15 185  7.0  8.0  0.64  5.88  4.01 999 1020.2   3.7   5.8   1.1 99.0
2000 01 07 16 184  6.0  6.7  0.60  5.88  4.43 999 1018.8   4.0   5.8   1.2 99.0
