YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2001 01 03 04 304 10.7 13.6  1.00  3.85  3.52 999 1020.4  -5.0   4.8 -10.0 99.0 99.00
2001 01 03 05 302 10.0 12.2  1.07  3.70  3.62 999 1019.8  -5.4   4.8 -10.3 99.0 99.00
2001 01 03 06 299  9.3 12.1  0.87  3.70  3.49 999 1019.6  -5.1   4.8  -9.8 99.0 99.00
2001 01 03 07 287  8.2 10.4  0.82  3.70  3.47 999 1020.0  -5.5   4.8 -10.6 99.0 99.00
2001 01 03 08 295  8.1 10.0  0.72  3.33  3.35 999 1019.8  -5.4   4.8 -10.0 99.0 99.00
2001 01 03 09 301  8.7 10.4  0.70  3.13  3.33 999 1019.5  -4.9   4.9  -9.9 99.0 99.00
2001 01 03 10 298  8.4 10.3  0.81  3.33  3.31 999 1019.5  -4.2   5.1  -9.1 99.0 99.00
2001 01 03 11 302  8.9 12.3  0.85  3.57  3.47 999 1019.6  -4.2   5.1  -9.1 99.0 99.00
2001 01 03 12 309 10.1 11.8  0.89  3.57  3.50 999 1019.9  -4.2   5.1  -9.5 99.0 99.00
2001 01 03 13 315  8.4 10.2  0.82  3.45  3.32 999 1020.4  -4.2   5.0  -9.2 99.0 99.00
2001 01 03 14 314  7.3  9.2  0.78  3.23  3.23 999 1020.6  -3.7   4.8  -8.8 99.0 99.00
2001 01 03 15 310  6.6  8.0  0.70  3.13  3.27 999 1021.1  -3.5   4.8  -9.4 99.0 99.00
2001 01 03 16 316  5.2  7.1  0.58  2.94  3.26 999 1021.0  -3.1   5.1  -9.6 99.0 99.00
2001 01 03 17 310  4.5  6.1  0.51  3.03  3.36 999 1020.3  -2.3   5.1  -8.8 99.0 99.00
2001 01 03 18 298  3.6  6.0  0.47  2.63  3.27 999 1019.1  -1.9   5.1 -10.4 99.0 99.00
2001 01 03 19 268  1.8  4.4  0.35  3.13  3.79 999 1018.7  -1.1   5.1  -9.6 99.0 99.00
2001 01 03 20 304  2.8  3.7  0.29 14.29  4.21 999 1018.0  -1.1   5.1 -10.2 99.0 99.00
2001 01 03 21 266  2.2  3.4  0.31 14.29  4.78 999 1017.9  -0.8   5.1  -8.9 99.0 99.00
2001 01 03 22 258  3.3  4.6  0.32 14.29  4.99 999 1018.0  -0.7   5.1  -8.8 99.0 99.00
2001 01 03 23 230  2.4  4.6  0.30 14.29  5.14 999 1017.9  -0.7   4.9  -9.6 99.0 99.00
2001 01 04 00 188  3.1  4.4  0.30 14.29  4.94 999 1017.3  -0.6   4.8  -9.2 99.0 99.00
2001 01 04 01 187  5.2  7.1  0.31 12.50  5.30 999 1017.2  -0.5   4.8  -8.7 99.0 99.00
2001 01 04 02 180  5.9  7.2  0.33 12.50  4.12 999 1016.5  -0.7   5.1  -6.7 99.0 99.00
2001 01 04 03 206  5.9  6.9  0.42  5.26  4.24 999 1015.8  -1.1   4.8  -7.1 99.0 99.00
2001 01 04 04 212  6.3  7.8  0.39  2.63  3.83 999 1015.7  -1.3   4.8  -6.2 99.0 99.00
2001 01 04 05 201  6.2  7.2  0.43  2.56  3.59 999 1014.9  -0.9   4.8  -7.1 99.0 99.00
2001 01 04 06 223  6.7  8.1  0.42  2.50  3.29 999 1014.6  -2.1   4.8  -6.5 99.0 99.00
2001 01 04 07 224  6.4  7.6  0.44  2.63  3.07 999 1014.1  -2.1   4.8  -6.9 99.0 99.00
2001 01 04 08 211  6.6  8.5  0.46  2.70  3.31 999 1013.4  -1.9   4.8  -5.9 99.0 99.00
2001 01 04 09 208  7.2  9.0  0.42  2.63  3.19 999 1012.5  -2.2   4.9  -7.5 99.0 99.00
2001 01 04 10 224  8.7 10.2  0.57  2.86  3.18 999 1011.7  -2.6   5.1  -8.5 99.0 99.00
2001 01 04 11 229  8.4  9.9  0.65  3.03  3.09 999 1011.7  -3.5   5.1  -8.5 99.0 99.00
2001 01 04 12 245  8.6 10.1  0.69  2.86  3.15 999 1011.8  -3.1   5.1  -8.4 99.0 99.00
2001 01 04 13 238  7.9 10.2  0.63  3.23  3.20 999 1012.0  -3.0   5.1  -8.0 99.0 99.00
2001 01 04 14 242  7.8  9.1  0.61  2.94  3.16 999 1011.8  -2.9   4.8  -8.3 99.0 99.00
2001 01 04 15 244  7.6  9.2  0.55  3.03  3.11 999 1012.2  -2.7   4.8  -8.1 99.0 99.00
2001 01 04 16 240  7.8  9.1  0.58  3.03  3.05 999 1011.7  -2.2   4.7  -8.2 99.0 99.00
2001 01 04 17 247  7.9 10.9  0.57  3.03  3.15 999 1010.8  -1.5   4.7  -7.9 99.0 99.00
2001 01 04 18 240  6.9  8.7  0.56  3.13  3.10 999 1010.2  -1.4   4.7  -9.3 99.0 99.00
2001 01 04 19 243  7.7 10.0  0.56  3.13  3.15 999 1009.8  -0.4   4.8  -9.4 99.0 99.00
2001 01 04 20 241  8.1  9.6  0.60  3.23  3.21 999 1009.5   0.4   4.8  -8.9 99.0 99.00
2001 01 04 21 256  9.8 11.6  0.63  3.23  3.27 999 1009.5   0.5   4.8  -7.9 99.0 99.00
2001 01 04 22 255  8.5 10.3  0.67  3.57  3.37 999 1010.1   0.7   4.8 999.0 99.0 99.00
2001 01 04 23 264  8.8 13.6  0.62  3.33  3.23 999 1010.2   0.6   4.8  -7.5 99.0 99.00
2001 01 05 00 267  9.4 11.3  0.72  3.57  3.28 999 1010.2   0.5   4.8  -7.1 99.0 99.00
2001 01 05 01 260  7.7  9.9  0.66  3.23  3.21 999 1010.4   0.4   5.0  -8.2 99.0 99.00
2001 01 05 02 240  7.4  8.9  0.55  3.13  3.17 999 1010.5  -0.3   4.8  -7.3 99.0 99.00
2001 01 05 03 249  8.0  9.8  0.50  2.94  3.07 999 1010.4  -0.7   4.7  -6.6 99.0 99.00
2001 01 05 04 262  8.9 11.0  0.64  3.03  3.15 999 1010.9  -0.7   4.7  -6.2 99.0 99.00
2001 01 05 05 277  8.3  9.8  0.68  3.33  3.29 999 1010.8  -1.1   4.7  -6.8 99.0 99.00
2001 01 05 06 283  7.2  8.9  0.56  3.23  3.21 999 1010.9  -1.4   4.8  -7.5 99.0 99.00
2001 01 05 07 285  5.8  7.9  0.51  2.94  3.14 999 1011.1  -1.8   4.8  -8.0 99.0 99.00
2001 01 05 08 303  5.3  6.7  0.39  2.86  3.18 999 1011.1  -2.2   4.8  -8.0 99.0 99.00
2001 01 05 09 310  6.3  8.4  0.32  2.63  3.31 999 1010.7  -2.3   4.8  -9.1 99.0 99.00
2001 01 05 10 296  3.4  4.9  0.33  2.56  3.57 999 1010.3  -2.6   4.8  -9.4 99.0 99.00
2001 01 05 11 276  2.4  3.5  0.27 14.29  4.34 999 1010.5  -2.7   4.8  -8.6 99.0 99.00
2001 01 05 12 216  3.0  4.2  0.26 14.29  5.76 999 1010.2  -2.7   4.8  -8.0 99.0 99.00
2001 01 05 13 235  3.2  4.3  0.26 14.29  6.30 999 1010.3  -2.7   4.8  -7.5 99.0 99.00
2001 01 05 14 246  4.0  5.1  0.26 14.29  5.53 999 1010.3  -2.5   4.8  -7.8 99.0 99.00
2001 01 05 15 230  2.7  4.2  0.29 14.29  6.42 999 1010.2  -2.5   4.8  -7.6 99.0 99.00
2001 01 05 16 208  1.5  2.7  0.26 14.29  5.57 999 1010.1  -2.2   4.8  -8.7 99.0 99.00
2001 01 05 17 177  0.6  2.7  0.27 14.29  6.21 999 1009.3  -1.7   4.8  -9.0 99.0 99.00
2001 01 05 18 139  3.6  4.9  0.26 14.29  5.81 999 1007.9  -1.5   4.8  -9.6 99.0 99.00
2001 01 05 19 148  4.1  5.2  0.26 14.29  5.93 999 1007.2  -1.2   4.8  -8.0 99.0 99.00
2001 01 05 20 139  4.8  6.3  0.26 14.29  6.29 999 1006.6  -0.8   4.8  -9.2 99.0 99.00
2001 01 05 21 140  6.0  7.3  0.44  2.63  3.27 999 1005.7   0.0   4.8  -8.0 99.0 99.00
